Ranking;Razão Social;Faturamento (R$);% Participação;% Acumulado;Classe;Cidade;UF;CNPJ;Telefone;E-mail;Vendedor
433;B S B ROLAMENTOS LTDA;;;;;SANTO ANDRE;SP;54484712000152;1144295399;bsbrol@terra.com.br;
434;SGA - SISTEMAS DE GESTAO AMBIENTAL S/A.;;;;;SAO PAULO;SP;30157101000131;1132831520;sgambiental@sgambiental.com;
435;SORETTO FABRICA DE CABOS AUTOMOTIVOS LTDA;;;;;SAO CARLOS;SP;21940395000182;1633784210;fernanda.marcondes@soretto.com.br;
436;IBEN ENGENHARIA LTDA;;;;;INDAIATUBA;SP;08415328000180;1938344131;rodrigo@fernandeselias.com.br;
437;IOAL MAINTENANCE PRESTACAO DE SERVICOS DE REPARACAO E MANUTENCAO DE MAQUINAS EM GERAL LTDA;;;;;SAO PAULO;SP;03873860000128;2135535653;luciano.carvalho@ioal.com.br;
438;DENNIS BRASIL ENGENHARIA LTDA;;;;;SAO PAULO;SP;19742654000119;1148101853;makihara@dennisgroup.com;
439;AUTOCAM DO BRASIL USINAGEM LTDA.;;;;;CAMPINAS;SP;00025160000195;1932062130;ltgozzi@autocam.com.br;
440;SENSUS METERING SYSTEMS DO BRASIL LTDA.;;;;;AMERICANA;SP;68960939000131;1937969300;arthur@lemosassociados.com.br;
441;AUTOSPLICE INDUSTRIA E COMERCIO LTDA;;;;;SAO PAULO;SP;55396030000150;1132536522;fra@francaribeiro.com.br;
442;SANEAR ENGENHARIA E CONSTRUCAO LTDA;;;;;SAO PAULO;SP;46277612000127;1136531883;wilson.oliveira@probusprime.com.br;
443;TUROTEST MEDIDORES LTDA;;;;;DIADEMA;SP;60769577000194;1140927212;valdomiro.ramalho@turotest.com.br;
444;CARDIO SISTEMAS COMERCIAL E INDUSTRIAL LTDA;;;;;SAO PAULO;SP;51961258000195;1138833000;erica@cardios.com.br;
445;BUDAI INDUSTRIA METALURGICA LTDA;;;;;ITAPEVI;SP;61394243000146;1141449898;ducolombo@budai.ind.br;
446;ENGECORPS ENGENHARIA S/A;;;;;BARUERI;SP;62025440000150;1121355252;marcosruiz@engecorps.com.br;
447;IBRAMED INDUSTRIA BRASILEIRA DE EQUIPAMENTOS MEDICOS - EIRELI;;;;;AMPARO;SP;00133418000177;1938179633;denise.dematte@ibramed.com.br;
448;AMERICA INTERNATIONAL PECAS AUTOMOTIVAS EIRELI;;;;;SAO PAULO;SP;05396602000123;1130300660;claudia@stockaig.com.br;
449;PANTANAL DESENVOLVIMENTO AMBIENTAL, ECOTURISMO, COMPRA E VENDA DE TERRENOS, E CONSULTORIA AGROPECUARIA LTDA.;;;;;SAO PAULO;SP;11593355000158;1132549800;pbs@cosjuris.com;
450;EVSA COMERCIO E SERVICOS INDUSTRIAIS LTDA;;;;;SAO PAULO;SP;02565617000180;1130306200;fiscal@sferagestao.com.br;
451;VITA AMBIENTAL COMERCIO E PRESTACAO DE SERVICOS DE ENGENHARIA LTDA.;;;;;SAO PAULO;SP;21602839000170;1123845064;rosangela@vitaengenharia.com.br;
452;DONALDSON DO BRASIL EQUIPAMENTOS INDUSTRIAIS LTDA;;;;;ITATIBA;SP;44202232000106;1148946335;guilherme.soares@donaldson.com;
453;KRJ - INDUSTRIA E COMERCIO LTDA.;;;;;SAO PAULO;SP;05256504000190;1132663596;tupi@tupi.com.br;
454;STEUTE DO BRASIL EQUIPAMENTOS ELETRO-ELETRONICOS LTDA;;;;;VINHEDO;SP;07590814000172;1938362114;info@steute.com.br;
455;GTE - GRUPO DE TECNOLOGIA DE ENGENHARIA LTDA.;;;;;ITU;SP;10419725000172;1121188745;comercial@heracorp.com.br;
456;WOLPAC SISTEMAS DE CONTROLE LTDA;;;;;FERRAZ DE VASCONCELOS;SP;60618642000180;1146748002;debora.fernandes@wolpac.com.br;
457;EPT ENGENHARIA E PESQUISAS TECNOLOGICAS SA;;;;;OSASCO;SP;60730645000101;1138799449;gerson@gfsil.com.br;
458;CP - CONSTRUCOES E PARTICIPACOES LTDA;;;;;SAO PAULO;SP;07177497000167;1131541500;processos@swscontabil.com.br;
459;AMP INDUSTRIA E COMERCIO DE PECAS AUTOMOTIVAS LTDA;;;;;SAO PAULO;SP;07752881000146;1938569300;almeida.gino@yahoo.com.br;
460;KATOEN NATIE LOGISTICA LTDA;;;;;PAULINIA;SP;02274151000163;1921161500;fiscal@katoennatie.com.br;
461;RCL IMPORTACAO INDUSTRIA E COMERCIO LTDA.;;;;;BARUERI;SP;03257945000181;1141967256;rclindustria@rclindustria.com.br;
462;RHA DO BRASIL SERVICOS DE INFRAESTRUTURA LTDA.;;;;;SAO PAULO;SP;11116655000146;1155054001;paralegal.soc.sp@veirano.com.br;
463;WATERFY PARTNERS PARTICIPACOES S.A;;;;;SAO PAULO;SP;32295104000167;1130785344;mirele@andrezani.com.br;
464;FOXCONN BRASIL TECNOLOGIA LTDA.;;;;;JUNDIAI;SP;22095676000149;1133082143;luciana.barros@foxconn.com;
465;SID SIGNS SUPRIMENTOS PARA COMUNICACAO VISUAL LTDA.;;;;;BARUERI;SP;01277085000112;1133369000;sid@sidsigns.com;
466;E E C ENGENHARIA E CONSTRUCOES LTDA;;;;;SAO PAULO;SP;02811333000126;1150411728;eec.engenharia@terra.com.br;
467;VENDRAME CONSULTORES ASSOCIADOS LTDA;;;;;SAO PAULO;SP;03175843000117;1122624733;administrativo@vendrame.com.br;
468;MSE CONSULTORIA E ENGENHARIA LTDA;;;;;SAO PAULO;SP;03983594000196;1150803300;legalizacao@nkcontabilidade.com.br;
469;EGUS CONSULT PLANEJAMENTO E PROJETOS LTDA;;;;;SAO PAULO;SP;05769277000105;1120761203;izidro@egusengenharia.com.br;
470;CALCAR CONSTRUCOES LTDA EM RECUPERACAO JUDICIAL;;;;;SAO PAULO;SP;20919608000121;1181755599;rubens.queiroz@enfil.com.br;
471;HIDROSERVICE ENGENHARIA LTDA;;;;;SAO PAULO;SP;60887445000167;1131458031;contab@maksoud.com.br;
472;FIGUEIREDO FERRAZ CONSULTORIA E ENGENHARIA DE PROJETO S.A.;;;;;SAO PAULO;SP;62144969000193;1150855300;cgt@ffcep.com.br;
473;FJEPC CONSTRUCOES EM ENERGIA ELETRICA DO BRASIL LTDA.;;;;;SAO PAULO;SP;25357102000190;1164867688;smart46520552@qq.com;
474;SOLAIREDIRECT BRASIL ENERGIA E CONSULTORIA LTDA.;;;;;SAO PAULO;SP;22487416000119;1130879333;cbandeira@solairedirect.com;
475;ARGO-HYTOS AT FLUID POWER SYSTEMS LTDA;;;;;JARINU;SP;03348244000158;1142300380;w.loesch@argo-hytos.com;
476;DUCATI ENERGIA DO BRASIL LTDA;;;;;COTIA;SP;19528276000175;1146169673;administrativo@ducatienergia.com.br;
477;INNOVATIVE ENGENHARIA DE DATACENTER LTDA;;;;;SAO PAULO;SP;09117366000110;1121647144;fiscal@green4t.com;
478;INDUSTRIA METALURGICA A PEDRO LTDA;;;;;SAO CAETANO DO SUL;SP;44403558000193;1121997330;teresinha@imapedro.com.br;
479;ENGEMET METALURGIA E COMERCIO LTDA;;;;;SAO PAULO;SP;43283142000116;1123336506;marcelo_pereira@engemet.com.br;
480;ECOLURB CONSTRUCAO, CONSERVACAO E LIMPEZA URBANA LTDA;;;;;SAO PAULO;SP;10490906000195;7130387650;contato@andradesimoes.com.br;
481;FONTAINE INTERNATIONAL DO BRASIL S.A.;;;;;ITAQUAQUECETUBA;SP;01534587000181;1146481313;andrea.martins@iberoequipamentos.com.br;
482;ACCIONA AGUA BRASIL - TRATAMENTO DE AGUA LTDA.;;;;;SAO PAULO;SP;15103125000114;1130748300;tatiana.barcelos.hayashi@acciona.com;
483;DIGITROL INDUSTRIA E COMERCIO LTDA;;;;;SAO PAULO;SP;53153649000109;1135112686;eliana.raimundo@digitrol.com.br;
484;BRAPENTA ELETRONICA LTDA;;;;;SAO PAULO;SP;51207785000109;1131232881;lmiranda@brapenta.com;
485;PRO SINALIZACAO MONITORAMENTO LTDA;;;;;SAO PAULO;SP;15154443000104;1156443400;wilson.arrais@terra.com.br;
486;COBRAPE -  CIA. BRASILEIRA DE PROJETOS E EMPREENDIMENTOS;;;;;SAO PAULO;SP;58645219000128;1138978000;cobrape@cobrape.com.br;
487;FEV AMERICA LATINA LTDA.;;;;;VALINHOS;SP;10517104000121;1141256280;sercon@serconcontabil.com.br;
488;LAVORWASH BRASIL INDUSTRIAL E COMERCIAL LTDA;;;;;INDAIATUBA;SP;02184151000172;1931150200;contabilidade@lavorwash.com.br;
489;CAAS DO BRASIL IMPORTACAO E COMERCIO DE PECAS AUTOMOTIVAS LTDA.;;;;;GUARULHOS;SP;15203582000180;1123035003;nfe@caas-bra.com;
490;RAMBOLL BRASIL ENGENHARIA E CONSULTORIA AMBIENTAL LTDA;;;;;VALINHOS;SP;02807315000170;1128328004;infobr@ramboll.com;
491;FOMECO DO BRASIL INDUSTRIA METALURGICA LTDA.;;;;;ITUPEVA;SP;08872933000180;1131986140;daniela.muraoka@fomeco.com.br;
492;KNIJNIK SAO PAULO ENGENHARIA INTEGRADA LTDA.;;;;;SAO PAULO;SP;15411524000142;1149496000;contabilidade@engenhariaintegrada.com.br;
493;GUANGDONG DCENTI (BRASIL) AUTOPECAS LTDA.;;;;;SAO PAULO;SP;31511258000186;1132772393;dvasscont@uol.com.br;
494;AQUARUM SANEAMENTO AMBIENTAL LTDA;;;;;SAO CARLOS;SP;10593151000154;1634125639;bene_contabil@hotmail.com;
495;NBB CONSULTORIA LTDA;;;;;SAO PAULO;SP;00420613000188;1163358157;mauro@plantcont.com.br;
496;CLARION DO BRASIL LTDA;;;;;SAO PAULO;SP;03697329000141;3534733293;jrvieira_adv@clarionbr.com.br;
497;TS SHARA TECNOLOGIA DE SISTEMAS LTDA;;;;;SAO PAULO;SP;64600422000180;1120186000;tsshara@tsshara.com.br;
498;SAWEM INDUSTRIAL LTDA.;;;;;SAO PAULO;SP;43803725000120;1127187777;fiscal@gruposawem.com.br;
499;CONSTRUCOES CONSULTORIA E OBRAS - CCO LTDA.;;;;;SAO PAULO;SP;00685378000176;1150112686;despachante@terra.com.br;
500;TECDATA ENGENHARIA E SERVICOS LTDA.;;;;;SAO PAULO;SP;55474282000150;1131492200;financeiro.sede@tecdataeng.com.br;
501;ABSOLUTA - PROJETOS E ADMINISTRACAO LTDA;;;;;MOGI DAS CRUZES;SP;20052529000166;1147994815;alves@escritorioalves.com.br;
502;CRJ PROJETOS E OBRAS LTDA;;;;;SAO PAULO;SP;14347597000150;1129508777;fatima@alefabrasil.com.br;
503;MISTRAS SOUTH AMERICA LTDA;;;;;SAO PAULO;SP;01096463000161;1130825111;flavio@mistras.com.br;
504;XN BRASIL ENGENHARIA E SISTEMAS LTDA.;;;;;SAO PAULO;SP;11357481000103;1130326200;xn@xnbrasil.com;
505;PG&A EMPREENDIMENTOS LTDA.;;;;;SAO PAULO;SP;10957572000117;1132565480;contato@attieadvogados.com.br;
506;VAST DO BRASIL LTDA.;;;;;DIADEMA;SP;04790666000141;1156876144;anamaria@ifer.com.br;
507;GIOBERT DO BRASIL SISTEMAS AUTOMOTIVOS LTDA;;;;;JAGUARIUNA;SP;13258571000172;1938375525;sirlene.mendes@giobert.com;
508;MTA BRASIL INDUSTRIA E COMERCIO DE COMPONENTES AUTOMOTIVOS LTDA;;;;;ARUJA;SP;00930643000134;1134054970;claudio.fernandes@mta.it;
509;ZITO PEREIRA IND COM PECAS E ACESSORIOS P AUTOS LTDA;;;;;GUARULHOS;SP;43846328000136;1122832285;acelnet@acelnet.com.br;
510;RENOVA SERVICOS DE SANEAMENTO E TUBULACOES LTDA;;;;;AMERICANA;SP;11063911000184;1934073928;gustavo@visualassssoria.com.br;
511;PRO SINALIZACAO SISTEMAS LTDA;;;;;SAO PAULO;SP;15154444000159;1155497000;caetano@infravias.srv.br;
512;ADELCO SISTEMAS DE ENERGIA LTDA EM RECUPERACAO JUDICIAL;;;;;BARUERI;SP;61693461000181;1141997500;christianne.piazza@adelco.com.br;
513;CARDIO MEDICAL INDUSTRIAL LTDA;;;;;PIRACICABA;SP;22616357000131;1934343659;susete_alarcon@terra.com.br;
514;AYESA PROJETOS INDUSTRIAIS E PARTICIPACOES LTDA;;;;;SAO PAULO;SP;17355922000114;1132871288;rodrigo.augusto@ayesa.com;
515;TSA - TECNOLOGIA EM SISTEMAS AUTOMOTIVOS LTDA;;;;;ITU;SP;05745983000109;1140139966;marcio@tsadobrasil.com.br;
516;INTEGRA DESENVOLVIMENTO URBANO LTDA;;;;;SAO PAULO;SP;03954927000159;1139364072;matiz@matizcontabil.com.br;
517;ENGRECON S A;;;;;SANTANA DE PARNAIBA;SP;60554219000164;1141549000;engrecon@engrecon.com.br;
518;SICES BRASIL LTDA;;;;;ITAPEVI;SP;17774501000128;1141932008;contato@sicesbrasil.com.br;
519;L.T.D. ENGENHARIA LTDA.;;;;;BARUERI;SP;03205315000163;1141985056;mjlourenco@ltdengenharia.com.br;
520;ECOESFERA CONSTRUCOES SUSTENTAVEIS LTDA;;;;;SAO PAULO;SP;08247929000121;1132844427;adm@rbcc.com.br;
521;KINGSIGNAL TECNOLOGIA DO BRASIL LTDA.;;;;;MAUA;SP;13478582000168;1145558958;he.huang@kingsignal.com;
522;METALURGICA ATICA LTDA;;;;;DIADEMA;SP;43078773000101;1140668100;financeiro@met-atica.com.br;
523;F CONFUORTO IND E COM DE PECAS E ACESSORIOS LTDA;;;;;GUARULHOS;SP;43024991000155;1124872900;filomena@fconfuorto.ind.br;
524;EMPRESA BRASILEIRA DE PECAS E ACESSORIOS PARA AUTOS LIMITADA;;;;;SAO PAULO;SP;07852545000175;1132151400;celia@mjmcontabilidade.com.br;
525;FORMALE INDUSTRIA E COMERCIO LTDA.;;;;;SAO CAETANO DO SUL;SP;05426571000106;1141213400;dlga@cellim.com.br;
526;ATMOS SISTEMAS LTDA.;;;;;SAO PAULO;SP;06916109000150;1138764056;contato@atmossistemas.com.br;
527;OBRAMIX LTDA;;;;;SUZANO;SP;14776030000107;1147450959;fiscal@obramixengenharia.com.br;
528;FRATTA CONSTRUTORA E INCORPORADORA LTDA;;;;;SAO PAULO;SP;05585213000146;1143359696;vanderlei@abccont.com.br;
529;POLICON PRODUTOS ELETRICOS LTDA;;;;;SAO PAULO;SP;48112452000191;1156854410;plc.@uol.com.br;
530;INDUSTRIA METALURGICA ALLI LTDA;;;;;SAO PAULO;SP;43592823000166;1133893333;bruna@ima.ind.br;
531;MAUBERTEC ENGENHARIA E PROJETOS LTDA;;;;;SANTANA DE PARNAIBA;SP;69133148000109;1141958533;trade@virtualoffice.com.br;
532;ENGESEC CONSTRUCOES EIRELI;;;;;SAO PAULO;SP;00268531000160;1132595962;rivaldo@engesec.com.br;
533;WMF SOLUTIONS ENGENHARIA E EQUIPAMENTOS LTDA;;;;;SAO PAULO;SP;06787374000185;1142244646;wmf@wmfsolutions.com.br;
534;EB SERVICOS E PROJETOS INDUSTRIAIS LTDA;;;;;SAO PAULO;SP;13750957000105;1133922337;mylla@engenharia.net.br;
535;KRAUS & NAIMER INDUSTRIA E COMERCIO LTDA;;;;;COTIA;SP;51706745000101;1121981288;pedro@krausnaimer.com.br;
536;DE SMET EMPRAL - PROJETOS, GESTAO, CONSTRUCAO E EQUIPAMENTOS LTDA.;;;;;SAO PAULO;SP;18116296000176;1130447274;contato@alljabercompany.com.br;
537;ANRITSU ELETRONICA LTDA;;;;;SAO PAULO;SP;29506557000180;1132832511;carlos.martins@anritsu.com;
538;METALTORK INDUSTRIA E COMERCIO DE AUTO PECAS LIMITADA;;;;;DIADEMA;SP;59160069000125;1140705510;administracao@metaltork.com.br;
539;DYWIDAG ENGENHARIA E PARTICIPACOES LTDA;;;;;SAO PAULO;SP;51726040000156;1131053146;dorivaldo@dywidag.com.br;
540;GREEN LUCE SOLUCOES ENERGETICAS S.A.;;;;;SAO PAULO;SP;13869907000133;1138661110;classico@classico-consultoria.com.br;
541;PRO INOVA TECNOLOGIAS SUSTENTAVEIS LTDA.;;;;;JUNDIAI;SP;27604302000125;1144928000;financeiro@pro-inova.com;
542;TESSIN INDUSTRIA E COMERCIO LTDA;;;;;SUZANO;SP;44412435000119;1147483922;yasuko@tessin.com.br;
543;CAUCHO METAL PRODUCTS DO BRASIL LTDA EM RECUPERACAO JUDICIAL;;;;;VINHEDO;SP;01402787000180;1938711167;ecr@ecr.srv.br;
544;ENGEBANC ENGENHARIA E SERVICOS LTDA;;;;;EMBU DAS ARTES;SP;69026144000113;1130393586;anamendo@engebanc.com.br;
545;GABINETE PROJETOS DE ENGENHARIA E ARQUITETURA LTDA;;;;;SAO PAULO;SP;19065633000106;1149496000;contabilidade@engenhariaintegrada.com.br;
546;FINDER COMPONENTES LTDA;;;;;SAO CAETANO DO SUL;SP;02457479000115;1142231550;marco.baptista@serveconsultoria.com.br;
547;KSH CONSULTORIA E ENGENHARIA LTDA.;;;;;SAO PAULO;SP;07258657000100;1156607014;mirianvasconcelos@mogiconsult.com.br;
548;MASC & MISC ENGENHARIA EIRELI;;;;;SAO PAULO;SP;69095701000158;1121220400;mascmiscengenharia@gmail.com;
549;INDUSTRIAS GERAIS DE PARAFUSOS INGEPAL LTDA. EM RECUPERACAO JUDICIAL;;;;;SAO PAULO;SP;61403481000170;1130309500;edilene@ingepal.com.br;
550;AZBIL TELSTAR BRASIL CONSULTORIA LTDA;;;;;SAO PAULO;SP;02502090000144;1132246868;kpires@telstar.com;
551;ENCIBRA S A ESTUDOS E PROJETOS DE ENGENHARIA;;;;;SAO PAULO;SP;33160102000123;1155011622;rrludwig@encibra.com.br;
552;VERDEBIANCO ENGENHARIA EIRELI;;;;;SAO PAULO;SP;03992945000125;1126034444;mauro@mcardoso.cnt.br;
553;GREENWAVE INDUSTRIA, COMERCIO E SERVICOS LTDA.;;;;;OSASCO;SP;18458515000103;1143761389;garreta@greenwave.ind.br;
554;NDT DO BRASIL LTDA.;;;;;SAO PAULO;SP;61615191000190;1120618626;societario@coppolacontabil.com.br;
555;ALPINO INDUSTRIA METALURGICA LTDA;;;;;JUNDIAI;SP;61451027000195;1173921127;controladoria@alpino.com.br;
556;PROPLAN SERVICOS E PROJETOS LTDA;;;;;SAO PAULO;SP;51205706000120;1149496000;contabilidade@engenhariaintegrada.com;
557;ACS AUTOMACAO CONTROLES E SISTEMAS INDUSTRIAIS LTDA;;;;;SAO PAULO;SP;54999438000154;1132018700;jessica.marques@engie.com;
558;REPUME REPUXACAO E METALURGICA LTDA;;;;;TABOAO DA SERRA;SP;52103033000160;1141391656;repume@repume.com.br;
559;IKS INDUSTRIA DE CABOS LTDA;;;;;SALTO;SP;56650658000101;1148139400;uniaocontabil@uniaocontabil.com.br;
560;ISBAL INDUSTRIA E COMERCIO LTDA;;;;;SAO PAULO;SP;61350856000181;1156122044;isbal@terra.com.nr;
561;CONSTRUTORA DIFERENCIAL LTDA;;;;;CAMPINAS;SP;08664635000103;1992520410;jose.franco@construtoradiferencial.com.br;
562;RPA CONSTRUTORA EIRELI;;;;;DIADEMA;SP;11076120000199;1140515813;rpa@rpaconstrucao.com.br;
563;A2M SERVICOS & MANUTENCAO INDUSTRIAL LTDA;;;;;PAULINIA;SP;18157652000108;1938333489;contato@ppcont.com.br;
564;B B L ENGENHARIA, CONSTRUCAO E COMERCIO LTDA;;;;;SAO PAULO;SP;05406235000100;1136421333;bbl@bbl.eng.br;
565;BELLACON CONSTRUTORA E INCORPORADORA EIRELI;;;;;SAO PAULO;SP;07667763000130;1172553745;manoel@gilser.com.br;
566;VIWAX ENGENHARIA E TECNOLOGIA LTDA;;;;;SAO PAULO;SP;16560296000135;1130610909;rogerio.botelho@viwax.com.br;
567;DWA ENGENHARIA & CONSTRUCOES EIRELI;;;;;SAO PAULO;SP;24990552000152;1156224954;alexandre.nascimento@dwatelecon.net.br;
568;MG ENGENHARIA E CONSTRUCAO LTDA;;;;;SAO PAULO;SP;30712621000169;1138845644;barbara@husk.com.br;
569;MAUBERTEC TECNOLOGIA EM ENGENHARIA LTDA;;;;;SAO PAULO;SP;36037866000114;1133529033;pps@maubertec.com.br;
570;ARCO-IRIS SINALIZACAO VIARIA EIRELI;;;;;SAO PAULO;SP;74434911000163;1150790555;legalizacao@expandnet.com.br;
571;NOVA FONTE ENGENHARIA LTDA;;;;;SAO PAULO;SP;15233415000182;3132118010;genesio@novafonte.eng.br;
572;ELECTROCELL INDUSTRIA, COMERCIO, SERVICOS DE MANUTENCAO E REVESTIMENTOS LTDA;;;;;SAO PAULO;SP;02905868000166;1155850220;rinaldo@cortezze.com.br;
573;SPECTRA TEC.IND.COMERCIO E SERV.DE INFORMATICA LTDA;;;;;SAO PAULO;SP;59933705000104;1141934995;contabilrd@uol.com.br;
574;MAURIZIO & CIA LTDA;;;;;SAO PAULO;SP;61293064000112;1129511700;industrial@maurizio.com.br;
575;ST ENGINEERING (LATIN AMERICA) LTDA.;;;;;SAO PAULO;SP;17882251000140;1123596718;tfranco@vt-systems.com;
576;ELTEK BRASIL INDUSTRIA E COMERCIO DE COMPONENTES ELETROMECANICOS LTDA.;;;;;JUNDIAI;SP;04358900000166;1145251570;g.accorsi@eltekgroup.com;
577;3M SERVICOS DE GESTAO E EXECUCAO DE PROJETOS LTDA;;;;;SUMARE;SP;53986675000118;1938387000;tributos.br@mmm.com;
578;HANATTEC - COMERCIO DE TECNOLOGIA AMBIENTAL LTDA;;;;;SAO PAULO;SP;07509106000164;1155811088;hanattec@outlook.com.br;
579;METALURGICA ONNIX INDUSTRIA E COMERCIO EIRELI;;;;;COTIA;SP;60596434000128;1146128044;direto@diretocontabilidade.com.br;
580;KALITERA ENGENHARIA LTDA.;;;;;SAO PAULO;SP;51834455000143;1150560155;fabiana@kalitera.com.br;
581;SPEA DO BRASIL PROJETOS E INFRA ESTRUTURA LTDA.;;;;;SAO PAULO;SP;17314001000103;1130773529;paolo.biella@spea-brasil.com.br;
582;QUALITY CONSTRUTORA E SANEAMENTO LTDA;;;;;FRANCISCO MORATO;SP;09061634000129;1144882695;diretoria@qualitysaneamento.com;
583;GESTWAY - GESTAO DE INFRA ESTRUTURAS LTDA;;;;;SAO PAULO;SP;10278986000110;1150512467;pacheco_3_legal@hotmail.com;
584;TETRA TECH ENGENHARIA E CONSULTORIA LTDA.;;;;;SAO PAULO;SP;56088990000116;1130955050;tbz.corp@tetratech.com;
585;MHA ENGENHARIA LTDA;;;;;BARUERI;SP;47283189000130;9999999999;***********;
586;PRATEC GERENCIAMENTO E OBRAS LTDA;;;;;CAMPINAS;SP;00099392000198;1931137200;administrativo@pratec.com.br;
587;DYNA INDUSTRIA E COMERCIO LTDA.;;;;;GUARULHOS;SP;61354148000119;1124232100;fiscal.recebimento@dyna.com.br;
588;ELEMENTU ENGENHARIA E INTEGRACAO LTDA;;;;;ARARAQUARA;SP;14458461000117;1633571677;fiscal@fpjur.com.br;
589;THEMAG ENGENHARIA E GERENCIAMENTO LTDA.;;;;;SAO PAULO;SP;00366080000101;1133531413;contabilidade@themag.com.br;
590;AUTOFIND INDUSTRIAL EQUIPAMENTOS ELETROELETRONICOS S/A;;;;;ITAJUBA;MG;11044459000103;3536217637;elizelia.cristina@autofind.com.br;
591;BIOENERGIA ENGENHARIA LTDA;;;;;SANTO ANDRE;SP;05602158000155;1132752487;katia@bioenergiaengenharia.com.br;
592;VITALUX-ECOATIVA PROJETOS SUSTENTAVEIS LTDA.;;;;;SAO PAULO;SP;11640530000110;1136659455;contato@vitalux-eco.com.br;
593;MELCO AUTOMOTIVOS DO BRASIL LTDA.;;;;;BARUERI;SP;05197106000140;1150798588;consultoria@planaudi.srv.br;
594;SR TRADE INDUSTRIA E COMERCIO LTDA;;;;;GUARULHOS;SP;00221068000109;1124237766;drp2@magnocontabil.com.br;
595;KIN ENGENHARIA LTDA;;;;;SAO CAETANO DO SUL;SP;04517114000164;1149302247;contato@marzzi.com.br;
596;VECTOR SISTEMAS DE MEDICAO LTDA;;;;;PIRACICABA;SP;10959672000182;1931242032;administrativo@vectorsistemas.com.br;
597;TECNOTONER CARTUCHOS PARA IMPRESSORAS LTDA.;;;;;SALTO;SP;68282672000170;1146028700;vladimir.bossoni@tecnotoner.com.br;
598;KONGSBERG AUTOMOTIVE LTDA;;;;;JUNDIAI;SP;02844748000104;1133782600;juraci.galindo@ka-group.com;
599;SCEPP INDUSTRIA E COMERCIO LTDA.;;;;;COTIA;SP;11145110000168;1136527777;patricia.machado@@scepp.com.br;
600;BEGHIM INDUSTRIA E COMERCIO DE EQUIPAMENTOS ELETRICOS LTDA;;;;;SAO PAULO;SP;61145843000170;1120913675;beghim@beghim.com.br;
601;PRESYS INSTRUMENTOS E SISTEMAS LTDA;;;;;SAO PAULO;SP;59894113000120;1130561900;financeiro@presys.com.br;
602;AXMOL INDUSTRIAL EIRELI;;;;;GUARULHOS;SP;05333742000152;1124077788;aluisio@axmol.com.br;
603;METALURGICA PLAXTEX INDUSTRIA E COMERCIO LTDA;;;;;MOGI DAS CRUZES;SP;05658781000120;1159768000;piatex@piatex.com.br;
604;JEDAL REDENTOR INDUSTRIA E COMERCIO LTDA;;;;;OSASCO;SP;47287461000150;1121069393;redentor@jedal.com.br;
605;OURO FINO INDUSTRIA E COMERCIO LTDA. - EM RECUPERACAO JUDICIAL;;;;;RIBEIRAO PIRES;SP;45783289000109;1121796156;juridicoadv@ourofino.com.br;
606;ALPHAGEOS TECNOLOGIA APLICADA S.A.;;;;;BARUERI;SP;55194369000174;1132653262;alphageos@alphageos.com;
607;HAGAPLAN ENGENHARIA E SERVICOS LTDA.;;;;;SAO PAULO;SP;06237944000163;1133340355;fernanda@hagaplan.com.br;
608;R.A. EMPREENDIMENTOS E CONSTRUCOES EIRELI;;;;;SAO PAULO;SP;08794499000168;1199559228;ruibenedito@uol.com.br;
609;HESE EMPREENDIMENTOS E GERENCIAMENTO LTDA;;;;;SAO PAULO;SP;10207759000101;1125394351;contato@hese.com.br;
610;TECBRIDGE SERVICOS DE INFRAESTRUTURA LTDA;;;;;SAO PAULO;SP;20588062000173;1132310706;financeiro@tecbri.com.br;
611;HAGAPLAN PLANEJAMENTO E PROJETOS LTDA;;;;;SAO PAULO;SP;57654089000127;1133340355;fernanda@hagaplan.com.br;
612;ELTMAN ENGENHARIA E SISTEMAS LTDA;;;;;SAO PAULO;SP;58795303000128;1151853003;eltman@eltman.com.br;
613;PLANSERVI ENGENHARIA LTDA;;;;;SAO PAULO;SP;65525404000144;1133041521;joao.nascimento@planservi.com.br;
614;OLIMPIC INDUSTRIA DE AUTOPECAS LTDA;;;;;SAO PAULO;SP;61468401000165;1161206500;gilberto@olimpic.com.br;
615;PSE LTDA.;;;;;SAO PAULO;SP;43816990000143;1120614690;financeiro@pini.com.br;
616;PCS TECNOLOGIA E LOCACAO LTDA;;;;;SANTO ANDRE;SP;07753834000117;1144279299;eduardo@pcsservices.com.br;
617;LAURENTI EQUIPAMENTOS PARA PROCESSAMENTO DE DADOS EIRELI;;;;;SAO PAULO;SP;62807599000127;1140936000;weliton@famscontabil.com.br;
618;R2M CONSULTORIA, PROJETOS DE ENGENHARIA CIVIL & PARTICIPACOES LTDA.;;;;;PIRACICABA;SP;23759252000102;1934021000;danilo@piracontabil.com.br;
619;ALTOM INDUSTRIA E COMERCIO DE IMAS LTDA;;;;;SAO PAULO;SP;36448573000120;1133333333;paulamelosouza@me.com;
620;ICM Tecnologia em Biocombustiveis Ltda;;;;;SAO PAULO;SP;26588192000192;1138864800;crislocateli@br.gt.com;
621;GEOMETRICA ENGENHARIA DE PROJETOS LTDA;;;;;SAO PAULO;SP;55069736000108;1150781070;legalizacao@sdcassessoria.com.br;
